Name,Suburb,Postcode,School Level
Guyra Central School,GUYRA,2365,Central/Community School
Gwabegar Public School,Gwabegar ,2356,Primary School
Gymea Bay Public School,Gymea Bay,2227,Primary School
Haberfield Public School,Haberfield ,2045,Primary School
Hammondville Public School,Hammondville ,2170,Primary School
Hampton Public School,Hampton ,2790,Primary School
Hannam Vale Public School,Hannam Vale ,2443,Primary School
Hanwood Public School,Hanwood ,2680,Primary School
Harbord Public School,Freshwater,2096,Primary School
Hargraves Public School,Hargraves ,2850,Primary School
Harrington Public School,Harrington ,2427,Primary School
Harwood Island Public School,HARWOOD,2465,Primary School
Hay Public School,HAY,2711,Primary School
Heathcote Public School,Heathcote ,2233,Primary School
Helensburgh Public School,Helensburgh ,2508,Primary School
Henty Public School,Henty ,2658,Primary School
Hermidale Public School,Hermidale ,2831,Primary School
Hernani Public School,Dorrigo ,2453,Primary School
Herons Creek Public School,Herons Creek ,2443,Primary School
Hill End Public School,Hill End ,2850,Primary School
Hillside Public School,Glenorie ,2157,Primary School
Hillston Central School,Hillston ,2675,Central/Community School
Hill Top Public School,Hill Top ,2575,Primary School
Hinton Public School,Hinton ,2321,Primary School
Holbrook Public School,Holbrook ,2644,Primary School
Holgate Public School,Holgate ,2250,Primary School
Holmwood Public School,Cowra ,2794,Primary School
Homebush Public School,Homebush ,2140,Primary School
Telarah Public School,Maitland ,2320,Primary School
Horsley Park Public School,Horsley Park ,2164,Primary School
Howlong Public School,Howlong ,2643,Primary School
Hoxton Park Public School,HOXTON PARK,2171,Primary School
Humula Public School,Humula ,2652,Primary School
Hunters Hill Public School,Hunters Hill ,2110,Primary School
Huntingdon Public School,Wauchope ,2446,Primary School
Rathmines Public School,Rathmines ,2283,Primary School
Hurstville Public School,Hurstville ,2220,Primary School
Hurstville South Public School,Hurstville ,2220,Primary School
Huskisson Public School,Huskisson ,2540,Primary School
Ilford Public School,Ilford ,2850,Primary School
Illabo Public School,Illabo,2590,Primary School
Iluka Public School,ILUKA,2466,Primary School
Ingleburn Public School,Ingleburn ,2565,Primary School
Inverell Public School,Inverell ,2360,Primary School
Iona Public School,Woodville,2321,Primary School
Islington Public School,Islington ,2296,Primary School
Ivanhoe Central School,Ivanhoe ,2878,Central/Community School
Fernleigh Public School,Fernleigh ,2479,Primary School
Jamberoo Public School,Jamberoo ,2533,Primary School
Jennings Public School,JENNINGS,4383,Primary School
Jerangle Public School,JERANGLE,2630,Primary School
Jerilderie Public School,Jerilderie ,2716,Primary School
Jerrys Plains Public School,Jerrys Plains ,2330,Primary School
Jesmond Public School,Jesmond ,2299,Primary School
Jiggi Public School,Jiggi ,2480,Primary School
Jilliby Public School,Wyong ,2259,Primary School
Jindabyne Central School,Jindabyne ,2627,Central/Community School
Jindera Public School,Jindera ,2642,Primary School
Johns River Public School,Johns River ,2443,Primary School
Jugiong Public School,Jugiong ,2727,Primary School
The Junction Public School,Merewether ,2291,Primary School
Junee Public School,Junee,2663,Primary School
Junee North Public School,Junee ,2663,Primary School
Kandos Public School,Kandos,2848,Primary School
Kangaloon Public School,Kangaloon ,2576,Primary School
Kangaroo Valley Public School,Kangaroo Valley ,2577,Primary School
Kanwal Public School,Kanwal ,2259,Primary School
Karangi Public School,Karangi ,2450,Primary School
Karuah Public School,Karuah ,2324,Primary School
Kearsley Public School,KEARSLEY,2325,Primary School
Kegworth Public School,Leichhardt ,2040,Primary School
Keiraville Public School,Keiraville ,2500,Primary School
Kellys Plains Public School,Armidale,2350,Primary School
Kellyville Public School,KELLYVILLE,2155,Primary School
Kelso Public School,Kelso ,2795,Primary School
Kempsey East Public School,Kempsey ,2440,Primary School
Kempsey West Public School,WEST KEMPSEY,2440,Primary School
Kendall Public School,Kendall ,2439,Primary School
Kensington Public School,KENSINGTON,2033,Primary School
Kenthurst Public School,KENTHURST,2156,Primary School
Kentlyn Public School,Campbelltown ,2560,Primary School
Kentucky Public School,Kentucky ,2354,Primary School
Kiama Public School,KIAMA,2533,Primary School
Kinchela Public School,Kinchela ,2440,Primary School
Kincumber Public School,Kincumber ,2251,Primary School
Kingsgrove Public School,Kingsgrove ,2208,Primary School
Bexley North Public School,Bexley ,2207,Primary School
Kingstown Public School,KINGSTOWN,2358,Primary School
Kingswood Public School,Kingswood ,2747,Primary School
Kirkton Public School,BELFORD,2335,Primary School
Kitchener Public School,KITCHENER,2325,Primary School
Kogarah Public School,Kogarah ,2217,Primary School
Koorawatha Public School,KOORAWATHA,2807,Primary School
Kootingal Public School,KOOTINGAL,2352,Primary School
Kororo Public School,KORORA,2450,Primary School
Krambach Public School,Krambach ,2429,Primary School
Kulnura Public School,Kulnura ,2250,Primary School
Kurmond Public School,Kurmond ,2757,Primary School
Kurnell Public School,Kurnell ,2231,Primary School
Kurrajong Public School,Kurrajong ,2758,Primary School
Kurrajong East Public School,EAST KURRAJONG,2758,Primary School
Kurrajong North Public School,KURRAJONG HILLS,2758,Primary School
Kyogle Public School,Kyogle ,2474,Primary School
Ladysmith Public School,Ladysmith ,2652,Primary School
Laggan Public School,Laggan ,2583,Primary School
Laguna Public School,Laguna,2325,Primary School
Lake Albert Public School,Lake Albert ,2650,Primary School
Lake Cargelligo Central School,LAKE CARGELLIGO,2672,Central/Community School
Lakemba Public School,Lakemba ,2195,Primary School
Lake Munmorah Public School,Lake Munmorah,2259,Primary School
Lake Wyangan Public School,Lake Wyangan ,2680,Primary School
Lambton Public School,LAMBTON,2299,Primary School
Lane Cove Public School,Lane Cove ,2066,Primary School
Lansdowne Public School,Lansdowne,2430,Primary School
Upper Lansdowne Public School,Upper Lansdowne ,2430,Primary School
La Perouse Public School,La Perouse ,2036,Primary School
Largs Public School,Largs ,2320,Primary School
Larnook Public School,LARNOOK,2480,Primary School
Laurieton Public School,Laurieton ,2443,Primary School
Lavington Public School,Lavington ,2641,Primary School
Lawrence Public School,Lawrence ,2460,Primary School
Lawson Public School,Lawson,2783,Primary School
Leeton Public School,Leeton,2705,Primary School
Leura Public School,Leura,2780,Primary School
Lidcombe Public School,Lidcombe ,2141,Primary School
Lightning Ridge Central School,LIGHTNING RIDGE,2834,Central/Community School
Lindfield Public School,Lindfield ,2070,Primary School
Lindfield East Public School,East Lindfield,2070,Primary School
Lisarow Public School,LISAROW,2250,Primary School
Lismore South Public School,South Lismore,2480,Primary School
Lithgow Public School,Lithgow ,2790,Primary School
Llandilo Public School,Llandilo,2760,Primary School
Lochinvar Public School,Lochinvar ,2321,Primary School
Lockhart Central School,Lockhart ,2656,Central/Community School
Londonderry Public School,Londonderry ,2753,Primary School
Long Flat Public School,LONG FLAT,2446,Primary School
Lowanna Public School,Lowanna ,2450,Primary School
Lowesdale Public School,Lowesdale ,2646,Primary School
Luddenham Public School,LUDDENHAM,2745,Primary School
Lue Public School,Lue,2850,Primary School
