Name,School Level,Suburb,Postcode
Creswick North Primary School,Primary,Creswick,3363
Black Hill Primary School,Primary,Ballarat,3350
Brighton Beach Primary School,Primary,Brighton,3186
Castlemaine North Primary School,Primary,Castlemaine,3450
Yarrambat Primary School,Primary,Yarrambat,3091
Thoona Primary School,Primary,Thoona,3726
Casterton Primary School,Primary,Casterton,3311
Nathalia Primary School,Primary,Nathalia,3638
Chilwell Primary School,Primary,Newtown,3220
Greensborough Primary School,Primary,Greensborough,3088
Teesdale Primary School,Primary,Teesdale,3328
Cranbourne Primary School,Primary,Cranbourne,3977
Katamatite Primary School,Primary,Katamatite,3649
Buangor Primary School,Primary,Buangor,3375
Leitchville Primary School,Primary,Leitchville,3567
Whittlesea Primary School,Primary,Whittlesea,3757
Little Bendigo Primary School,Primary,Nerrina,3350
Urquhart Park Primary School,Primary,Ballarat,3350
Warragul Primary School,Primary,Warragul,3820
Kangaroo Ground Primary School,Primary,Kangaroo Ground,3097
Traralgon South Primary School,Primary,Traralgon South,3844
Coleraine Primary School,Primary,Coleraine,3315
Lake Charm Primary School,Primary,Lake Charm,3581
Ripplebrook Primary School,Primary,Ripplebrook,3818
Numurkah Primary School,Primary,Numurkah,3636
Moe (Albert Street) Primary School,Primary,Moe,3825
Geelong South Primary School,Primary,South Geelong,3220
Bayswater Primary School,Primary,Bayswater,3153
Minyip Primary School,Primary,Minyip,3392
Mulgrave Primary School,Primary,Mulgrave,3170
Yarragon Primary School,Primary,Yarragon,3823
Tyers Primary School,Primary,Tyers,3844
Trafalgar Primary School,Primary,Trafalgar,3824
Kinglake Primary School,Primary,Kinglake,3763
Ellinbank Primary School,Primary,Ellinbank,3821
Tambo Upper Primary School,Primary,Tambo Upper,3885
Baranduda Primary School,Primary,Baranduda,3691
Tungamah Primary School,Primary,Tungamah,3728
Bunyip Primary School,Primary,Bunyip,3815
Gunbower Primary School,Primary,Gunbower,3566
Nar Nar Goon Primary School,Primary,Nar Nar Goon,3812
Toora Primary School,Primary,Toora,3962
Montrose Primary School,Primary,Montrose,3765
Koondrook Primary School,Primary,Koondrook,3580
Katunga South Primary School,Primary,Katunga,3640
Magpie Primary School,Primary,Magpie,3352
Tawonga Primary School,Primary,Tawonga,3697
Narracan Primary School,Primary,Narracan,3824
Drouin South Primary School,Primary,Drouin South,3818
Eskdale Primary School,Primary,Eskdale,3701
Darnum Primary School,Primary,Darnum,3822
Moorooduc Primary School,Primary,Moorooduc,3933
The Basin Primary School,Primary,The Basin,3154
Paynesville Primary School,Primary,Paynesville,3880
Epsom Primary School,Primary,Epsom,3551
Kensington Primary School,Primary,Kensington,3031
Hazelwood North Primary School,Primary,Hazelwood North,3840
Mirboo North Primary School,Primary,Mirboo North,3871
Yinnar Primary School,Primary,Yinnar,3869
Neerim South Primary School,Primary,Neerim South,3831
Ivanhoe Primary School,Primary,Ivanhoe,3079
Quambatook Group School,Primary,Quambatook,3540
Portarlington Primary School,Primary,Portarlington,3223
Menzies Creek Primary School,Primary,Menzies Creek,3159
St Kilda Park Primary School,Primary,St Kilda,3182
Labertouche Primary School,Primary,Labertouche,3816
Diggers Rest Primary School,Primary,Diggers Rest,3427
Longwarry Primary School,Primary,Longwarry,3816
Gembrook Primary School,Primary,Gembrook,3783
Wurruk Primary School,Primary,Wurruk,3850
Willow Grove Primary School,Primary,Willow Grove,3825
Hoddles Creek Primary School,Primary,Hoddles Creek,3139
Beaconsfield Upper Primary School,Primary,Upper Beaconsfield,3808
Congupna Primary School,Primary,Congupna,3633
Redesdale Mia Mia Primary School,Primary,Redesdale,3444
Malvern Primary School,Primary,Malvern East,3145
Launching Place Primary School,Primary,Launching Place,3139
Carlton Gardens Primary School,Primary,Carlton,3053
Ascot Vale Primary School,Primary,Ascot Vale,3032
Boolarra Primary School,Primary,Boolarra,3870
Rosebud Primary School,Primary,Rosebud,3939
Koo Wee Rup Primary School,Primary,Koo Wee Rup,3981
Armadale Primary School,Primary,Armadale,3143
Osborne Primary School,Primary,Mount Martha,3934
Somerville Primary School,Primary,Somerville,3912
Willaura Primary School,Primary,Willaura,3379
Echuca East Primary School,Primary,Echuca,3564
Lakes Entrance Primary School,Primary,Lakes Entrance,3909
Myrrhee Primary School,Primary,Myrrhee,3732
Devon North Primary School,Primary,Devon North,3971
Longwood Primary School,Primary,Longwood,3665
Forrest Primary School,Primary,Forrest,3236
Fairfield Primary School,Primary,Fairfield,3078
Nilma Primary School,Primary,Nilma,3821
Garfield Primary School,Primary,Garfield,3814
Yinnar South Primary School,Primary,Yinnar South,3869
Officer Primary School,Primary,Officer,3809
Brunswick South Primary School,Primary,Brunswick East,3057
Orbost Primary School,Primary,Orbost,3888
Inverloch Primary School,Primary,Inverloch,3996
Surrey Hills Primary School,Primary,Surrey Hills,3127
Montague Continuing Education Centre,Special,South Melbourne,3205
Strathmerton Primary School,Primary,Strathmerton,3641
Laharum Primary School,Primary,Laharum,3401
Walwa Primary School,Primary,Walwa,3709
Middle Park Primary School,Primary,Middle Park,3206
Seville Primary School,Primary,Seville,3139
Yarraville West Primary School,Primary,Yarraville,3013
Moreland Primary School,Primary,Coburg,3058
Tanjil South Primary School,Primary,Tanjil South,3825
Pomonal Primary School,Primary,Pomonal,3381
Elsternwick Primary School,Primary,Brighton,3186
Glengarry Primary School,Primary,Glengarry,3854
Carnegie Primary School,Primary,Carnegie,3163
Lang Lang Primary School,Primary,Lang Lang,3984
Croydon Primary School,Primary,Croydon,3136
Moonee Ponds West Primary School,Primary,Moonee Ponds,3039
Mitcham Primary School,Primary,Mitcham,3132
Loch Primary School,Primary,Loch,3945
Mildura Primary School,Primary,Mildura,3500
Blackburn Primary School,Primary,Blackburn,3130
Newmerella Primary School,Primary,Newmerella,3886
Port Melbourne Primary School,Primary,Port Melbourne,3207
Auburn Primary School,Primary,Hawthorn East,3123
Mentone Primary School,Primary,Mentone,3194
Princes Hill Primary School,Primary,Carlton North,3054
Gruyere Primary School,Primary,Gruyere,3770
Research Primary School,Primary,Research,3095
Pearcedale Primary School,Primary,Pearcedale,3912
Lindenow South Primary School,Primary,Lindenow South,3875
Thorpdale Primary School,Primary,Thorpdale,3835
St Albans Primary School,Primary,St Albans,3021
Leongatha Primary School,Primary,Leongatha,3953
Jeparit Primary School,Primary,Jeparit,3423
Toorak Primary School,Primary,Toorak,3142
Baxter Primary School,Primary,Baxter,3911
Fish Creek and District Primary School,Primary,Fish Creek,3959
Beaconsfield Primary School,Primary,Beaconsfield,3807
Metung Primary School,Primary,Metung,3904
Newhaven Primary School,Primary,Newhaven,3925
Halls Gap Primary School,Primary,Halls Gap,3381
Tallygaroopna Primary School,Primary,Tallygaroopna,3634
Ormond Primary School,Primary,Ormond,3204
Korumburra Primary School,Primary,Korumburra,3950
Crib Point Primary School,Primary,Crib Point,3919
Pascoe Vale Primary School,Primary,Pascoe Vale,3044
Flowerdale Primary School,Primary,Flowerdale,3717
Ocean Grove Primary School,Primary,Ocean Grove,3226
Beulah Primary School,Primary,Beulah,3395
Merri Creek Primary School,Primary,Fitzroy North,3068
Sunshine Primary School,Primary,Sunshine,3020
Tyabb Primary School,Primary,Tyabb,3913
Wales Street Primary School,Primary,Thornbury,3071
Upper Sandy Creek Primary School,Primary,Sandy Creek,3695
Spensley Street Primary School,Primary,Clifton Hill,3068
Kew East Primary School,Primary,Kew East,3102
Nichols Point Primary School,Primary,Nichols Point,3501
Irymple Primary School,Primary,Irymple,3498
Brunswick East Primary School,Primary,Brunswick East,3057
Eagle Point Primary School,Primary,Eagle Point,3878
