Name,Suburb,Postcode,School Level
Meningie Area School,Meningie,5264,Area Schools
Allendale East Area School,Allendale East,5291,Area Schools
Brinkworth Primary School,Brinkworth,5464,Primary Schools
Cleve Area School,Cleve,5640,Area Schools
Cummins Area School,Cummins,5631,Area Schools
Eudunda Area School,Eudunda,5374,Area Schools
Karoonda Area School,Karoonda,5307,Area Schools
Keith Area School,Keith,5267,Area Schools
Kingscote Campus,Kingscote,5223,Area Schools
Lameroo Regional Community School,Lameroo,5302,Area Schools
Loxton Primary School,Loxton,5333,Primary Schools
Central Yorke School,Maitland,5573,Area Schools
Oakbank Area School,Oakbank,5243,Area Schools
Penola Primary School,Penola,5277,Primary Schools
Pinnaroo Primary School,Pinnaroo,5304,Primary Schools
Wudinna Area School,Wudinna,5652,Area Schools
Yankalilla Area School,Yankalilla,5203,Area Schools
Yorketown Area School,Yorketown,5576,Area Schools
Adelaide High School,Adelaide,5000,High/Secondary Schools
Balaklava High School,Balaklava,5461,High/Secondary Schools
Birdwood High School,Birdwood,5234,High/Secondary Schools
Booleroo Centre District School,Booleroo Centre,5482,Area Schools
Clare High School,Clare,5453,Primary/Secondary Schools
Gawler and District College B-12,Evanston,5116,Primary/Secondary Schools
Gladstone High School,Gladstone,5473,High/Secondary Schools
Glossop High School,Glossop,5344,High/Secondary Schools
Jamestown Community School,Jamestown,5491,Area Schools
Kadina Memorial School,Kadina,5554,Primary/Secondary Schools
Kapunda High School,Kapunda,5373,High/Secondary Schools
Millicent High School,Millicent,5280,High/Secondary Schools
Minlaton District School,Minlaton,5575,Area Schools
Mount Barker High School,Mount Barker,5251,High/Secondary Schools
Mount Gambier High School,Mount Gambier,5290,High/Secondary Schools
Murray Bridge High School,Murray Bridge,5253,High/Secondary Schools
Naracoorte High School,Naracoorte,5271,High/Secondary Schools
Norwood Morialta High School,Magill,5072,High/Secondary Schools
Nuriootpa High School,Nuriootpa,5355,High/Secondary Schools
Peterborough High School,Peterborough,5422,High/Secondary Schools
Port Augusta Secondary School,Port Augusta,5700,High/Secondary Schools
Port Lincoln High School,Port Lincoln,5606,High/Secondary Schools
John Pirie Secondary School,Port Pirie,5540,High/Secondary Schools
Quorn Area School,Quorn,5433,Area Schools
Renmark High School,Renmark,5341,High/Secondary Schools
Riverton and District High School,Riverton,5412,High/Secondary Schools
Eastern Fleurieu Strathalbyn 7-12 Campus,Strathalbyn,5255,Primary/Secondary Schools
Unley High School,Netherby,5062,High/Secondary Schools
Urrbrae Agricultural High School,Netherby,5062,High/Secondary Schools
Victor Harbor High School,Victor Harbor,5211,High/Secondary Schools
Waikerie High School,Waikerie,5330,High/Secondary Schools
Woodville High School,St Clair,5011,High/Secondary Schools
Brighton Secondary School,North Brighton,5048,High/Secondary Schools
Findon High School,Findon,5023,High/Secondary Schools
Henley High School,Henley Beach,5022,High/Secondary Schools
Thebarton Senior College,Torrensville,5031,High/Secondary Schools
Le Fevre High School,Semaphore South,5019,High/Secondary Schools
Marryatville High School,Marryatville,5068,High/Secondary Schools
Whyalla High School,Whyalla,5600,High/Secondary Schools
Hamilton Secondary College,Mitchell Park,5043,High/Secondary Schools
Elizabeth North Primary School,Elizabeth North,5113,Primary Schools
Hospital School SA - Women's & Children's Hospital,North Adelaide,5006,Hospital Education Services
Cavan Education Centre,Cavan,5094,Alternative Sec Schools
The Grove Education Centre,Woodville,5011,Primary/Secondary Special Schools
Raukkan Aboriginal School,Raukkan,5259,Aboriginal Schools
Central Yorke School - Point Pearce Campus,Point Pearce,5573,Aboriginal Schools
Open Access College,Marden,5070,Open Access College
Salisbury High School,Salisbury North,5108,High/Secondary Schools
Seaview High School,Seacombe Heights,5047,High/Secondary Schools
Bordertown High School,Bordertown,5268,High/Secondary Schools
Loxton High School,Loxton,5333,High/Secondary Schools
Elizabeth Grove Primary School,Elizabeth Grove,5112,Primary Schools
Klemzig Primary School,Klemzig,5087,Primary Schools
Kirton Point Primary School,Port Lincoln,5606,Primary Schools
Mitcham Girls High School,Kingswood,5062,High/Secondary Schools
Blackwood High School,Eden Hills,5050,High/Secondary Schools
Avenues College,Windsor Gardens,5087,Primary/Secondary Schools
Plympton International College,Plympton,5038,Primary/Secondary Schools
Ocean View P-12 College,Taperoo,5017,Primary/Secondary Schools
Willunga High School,Willunga,5172,High/Secondary Schools
Playford International College,Elizabeth,5112,High/Secondary Schools
Lockleys North Primary School,Lockleys,5032,Primary Schools
Seacliff Primary School,Seacliff,5049,Primary Schools
Coober Pedy Area School,Coober Pedy,5723,Area Schools
Christies Beach Primary School,Christies Beach,5165,Primary Schools
Stradbroke School,Rostrevor,5073,Primary Schools
Ingle Farm East Primary School,Ingle Farm,5098,Primary Schools
Heathfield High School,Heathfield,5153,High/Secondary Schools
Glenunga International High School,Glenunga,5064,High/Secondary Schools
Grant High School,Mount Gambier,5290,High/Secondary Schools
Penola High School,Penola,5277,High/Secondary Schools
Clovelly Park Primary School,Clovelly Park,5042,Primary Schools
Warradale Primary School,Warradale,5046,Primary Schools
Fulham Gardens Primary School,Henley Beach,5022,Primary Schools
Para Hills School P-7,Para Hills,5096,Primary Schools
Naracoorte South Primary School,Naracoorte,5271,Primary Schools
Hincks Avenue Primary School,Whyalla Norrie,5608,Primary Schools
Seaton High School,Seaton,5023,High/Secondary Schools
Elizabeth East Primary School,Elizabeth East,5112,Primary Schools
Elizabeth Downs Primary School,Elizabeth Downs,5113,Primary Schools
Elizabeth Park Primary School,Elizabeth Park,5113,Primary Schools
Elizabeth Vale Primary School,Elizabeth Vale,5112,Primary Schools
Murray Bridge South Primary School,Murray Bridge,5253,Primary Schools
Clapham Primary School,Clapham,5062,Primary Schools
Mount Gambier North Primary School,Mount Gambier,5290,Primary Schools
Kangaroo Inn Area School,Kangaroo Inn,5280,Area Schools
Riverland Special School,Berri,5343,Primary/Secondary Special Schools
Modbury High School,Modbury,5092,High/Secondary Schools
Underdale High School,Underdale,5032,High/Secondary Schools
Vale Park Primary School,Vale Park,5081,Primary Schools
Fisk Street Primary School,Whyalla Norrie,5608,Primary Schools
Newbery Park Primary School,Millicent,5280,Primary Schools
East Torrens Primary School,Hectorville,5073,Primary Schools
Hawthorndene Primary School,Hawthorndene,5051,Primary Schools
Paradise Primary School,Paradise,5075,Primary Schools
Pasadena High School,Pasadena,5042,High/Secondary Schools
Craigmore High School,Blakeview,5114,High/Secondary Schools
Airdale Primary School,Port Pirie,5540,Primary Schools
Carlton School,Port Augusta,5700,Aboriginal Schools
Dernancourt School R-7,Dernancourt,5075,Primary Schools
Brahma Lodge Primary School,Brahma Lodge,5109,Primary Schools
Seaview Downs Primary School,Seaview Downs,5049,Primary Schools
